_id,waktu,temperature,sun_radiation,Relative_humidity,wind_direction,wind_speed,pressure,rain_rate
115,2017-09-09 04:00,25.875,0.683333333,78.5,197.7916667,3.333333333,999.5666667,0
116,2017-09-09 06:00,25.625,0.883333333,76.825,191.7166667,3.608333333,998.575,0
117,2017-09-09 08:00,25.4,0.758333333,79.025,183.375,4.733333333,998.1916667,0
118,2017-09-09 10:00,25.38333333,23.39166667,81.73333333,195.35,5.875,998.7666667,0
119,2017-09-09 12:00,26.76666667,286.6333333,75.38333333,198.8083333,7.475,999.8416667,0
120,2017-09-09 14:00,28.5,732.0166667,67.61666667,192.45,9.95,999.925,0
121,2017-09-09 16:00,29.80833333,889.0666667,61.65,185.6,8.083333333,998.9833333,0
122,2017-09-09 18:00,30.2,724.3333333,57.78333333,188.85,7.091666667,997.475,0
123,2017-09-09 20:00,28.95,241.1916667,62.28333333,189.5083333,6.125,996.6666667,0
124,2017-09-09 22:00,27.45833333,26.29166667,68.53333333,191.1,5.483333333,997.1083333,0
125,2017-09-10 00:00,26.49166667,0.625,73.8,195.5083333,4.758333333,998.1416667,0
126,2017-09-10 02:00,26.14166667,0.625,79.925,199.3166667,4.95,999.2,0
127,2017-09-10 04:00,25.84166667,0.641666667,83.31666667,208.4333333,4.333333333,999.2083333,0
128,2017-09-10 06:00,25.60833333,0.7,84.60833333,195.7916667,4.9,998.3083333,0
129,2017-09-10 08:00,25.24166667,0.616666667,87.11666667,202.1916667,4.341666667,998.7583333,0
130,2017-09-10 10:00,25.25,23.63333333,84.23333333,218.825,3.408333333,999.5916667,0
131,2017-09-10 12:00,27.45,418.9083333,75.575,211.2583333,4.75,1000.475,0
132,2017-09-10 14:00,29.65,888.575,67.54166667,190.8,5.95,1000.333333,0
133,2017-09-10 16:00,30.775,1052.633333,63.175,192.5583333,6.433333333,998.7833333,0
134,2017-09-10 18:00,30.54166667,901.45,61.7,188.9333333,8.883333333,997.2333333,0
135,2017-09-10 20:00,29.69166667,478.4666667,58.7,186.6583333,9.383333333,996.5916667,0
136,2017-09-10 22:00,27.40833333,31.6,68.71666667,191.3833333,8.133333333,997.4833333,0
137,2017-09-11 00:00,26.24166667,0.6,74.70833333,203.5916667,6.716666667,999.025,0
138,2017-09-11 02:00,25.70833333,0.558333333,76.09166667,208.5833333,6.641666667,999.7583333,0
139,2017-09-11 04:00,25.23333333,0.583333333,77.36666667,208.15,6.525,999.5,0
140,2017-09-11 06:00,24.925,0.616666667,79.25833333,207.45,5.708333333,998.7333333,0
141,2017-09-11 08:00,24.70833333,0.591666667,82.075,210.0416667,4.291666667,998.5416667,0
142,2017-09-11 10:00,24.36666667,26.45833333,83.825,192.0333333,3.508333333,999.025,0
143,2017-09-11 12:00,26.39166667,328.2583333,76.575,197.5666667,4.466666667,1000.116667,0
144,2017-09-11 14:00,28.60833333,789.8916667,65.6,194.9583333,3.825,1000.016667,0.133333333
145,2017-09-11 16:00,30.3,683.825,58.04166667,188,3.575,998.5666667,0.4
146,2017-09-11 18:00,31.775,626.1666667,51.43333333,144.9083333,3.708333333,996.975,0.4
147,2017-09-11 20:00,31.025,409.7416667,56.74166667,209.35,5.033333333,996.2666667,0.4
148,2017-09-11 22:00,28.10833333,45.85833333,72.69166667,185.0166667,3.458333333,997.7,0.4
149,2017-09-12 00:00,26.33333333,0.575,82.1,172.45,3.066666667,999.0083333,0.4
150,2017-09-12 02:00,25.08333333,0.45,87.9,168.1333333,2.283333333,999.5166667,0.4
151,2017-09-12 04:00,24.46666667,0.65,91.425,162.2083333,1.316666667,999.025,0.4
152,2017-09-12 06:00,23.55,0.641666667,95.79166667,182.475,1.35,998.1666667,0.4
153,2017-09-12 08:00,23.15,0.658333333,96.18333333,182.175,2.425,997.6916667,0.4
154,2017-09-12 10:00,23.65833333,42.91666667,93.475,181.4916667,2.2,998.725,0.4
155,2017-09-12 12:00,27,390.5166667,79.85,189.9083333,3.7,999.575,0.033333333
156,2017-09-12 14:00,28.90833333,645.675,71.24166667,202.55,4.833333333,999.7166667,0
157,2017-09-12 16:00,30.26666667,667.2583333,64.41666667,199.275,4.225,998.375,0
158,2017-09-12 18:00,31.23333333,593.2916667,59.73333333,165.65,3.608333333,996.65,0
159,2017-09-12 20:00,31.03333333,197.5333333,57.25833333,111.5083333,3.641666667,995.6416667,0
160,2017-09-12 22:00,28.73333333,24.64166667,70.61666667,171.6916667,1.841666667,996.45,0
161,2017-09-13 00:00,26.53333333,0.616666667,82.46666667,165.7083333,2.458333333,998.05,0
162,2017-09-13 02:00,25.8,0.658333333,87.81666667,179.6833333,2.541666667,999.0583333,0
163,2017-09-13 04:00,25.38333333,0.716666667,91.1,189.9416667,2.175,998.4833333,0
164,2017-09-13 06:00,25.78333333,0.683333333,90.75833333,207.375,2.633333333,997.4083333,0
165,2017-09-13 08:00,25.43333333,0.675,91.90833333,190.6666667,2.908333333,996.9833333,0
166,2017-09-13 10:00,25.60833333,30.20833333,91.075,197.525,3.15,998.225,0
167,2017-09-13 12:00,27.81666667,405.3,80.81666667,199.075,4.933333333,999.1916667,0
168,2017-09-13 14:00,29.88333333,796.6416667,70.24166667,205.1333333,6.008333333,999.35,0
