id_wind_d,nilai_wind_d
WD739,107.4
WD740,109.4
WD741,107.2
WD742,106.4
WD743,122.7
WD744,121.5
WD745,125.1
WD746,120.3
WD747,122.1
WD748,119.8
WD749,104.6
WD750,101.2
WD751,92.6
WD752,100.5
WD753,101.5
WD754,102.4
WD755,98.3
WD756,96.8
WD757,109.8
WD758,111.6
WD759,108
WD760,119.1
WD761,123.4
WD762,135.1
WD763,121.7
WD764,149.8
WD765,195.3
WD766,192.8
WD767,183.5
WD768,187.3
WD769,193.8
WD770,178.9
WD771,165.4
WD772,174.7
WD773,179.6
WD774,180.3
WD775,181.4
WD776,181.9
WD777,184.7
WD778,177
WD779,171.1
WD780,175.6
WD781,175.6
WD782,175.4
WD783,177.9
WD784,179.2
WD785,178
WD786,176.8
WD787,183.3
WD788,180.3
WD789,181.7
WD790,183.3
WD791,184
WD792,185.3
WD793,193.8
WD794,198.7
WD795,188.5
WD796,185.1
WD797,179.2
WD798,179
WD799,181
WD800,184.6
WD801,196.5
WD802,211.2
WD803,198.1
WD804,198.7
WD805,201.6
WD806,206.4
WD807,208.4
WD808,213.9
WD809,209.3
WD810,217.1
WD811,212.3
WD812,205.8
WD813,208.4
WD814,208.4
WD815,201.9
WD816,199.7
WD817,197.5
WD818,224.3
WD819,212.4
WD820,219
WD821,225.7
WD822,224
WD823,227.5
WD824,226.1
WD825,224.8
WD826,237.1
WD827,246
WD828,249.2
WD829,239.6
WD830,154.8
WD831,124.1
WD832,105.5
WD833,99.4
WD834,103.9
WD835,80.7
WD836,87.3
WD837,78.9
WD838,74.1
WD839,76.6
WD840,87.2
WD841,80.9
WD842,82.6
WD843,60.7
WD844,49.4
WD845,73.2
WD846,57.7
WD847,58.7
WD848,75.7
WD849,50.9
WD850,33.3
WD851,39.5
WD852,61.5
WD853,57.8
WD854,29
WD855,56.8
WD856,43.2
WD857,7
WD858,52.6
WD859,35.4
WD860,37.9
WD861,28.6
WD862,58.6
WD863,65.2
WD864,88.5
WD865,87.7
WD866,48.9
WD867,64.6
WD868,74.1
WD869,57.4
WD870,50
WD871,52.6
WD872,58.9
WD873,97.9
WD874,97.4
WD875,83.2
WD876,83.9
WD877,76.5
WD878,85.4
WD879,79.5
WD880,60.4
WD881,60.3
WD882,73.3
WD883,79
WD884,69.9
WD885,70.2
WD886,89.9
WD887,87.4
WD888,58.3
WD889,66.8
WD890,80.4
WD891,83.6
WD892,76.5
WD893,84.3
WD894,94.9
WD895,115
WD896,114.5
WD897,147.2
WD898,191.3
WD899,200.6
WD900,195.6
WD901,192.1
WD902,189.6
WD903,190.5
WD904,189.2
WD905,185.4
WD906,182.3
WD907,186.8
WD908,189.7
WD909,188.3
WD910,197.2
WD911,197.5
WD912,189.6
WD913,187.5
WD914,187.5
WD915,184.2
WD916,184.2
WD917,180.3
WD918,178
WD919,175.4
WD920,175.4
WD921,171.8
WD922,177.3
WD923,174.4
WD924,185.9
WD925,186.1
WD926,181.7
WD927,178.5
WD928,185.3
WD929,188.6
WD930,191
WD931,188.4
WD932,187.8
WD933,186.1
WD934,189
WD935,187.2
WD936,188
WD937,187.7
WD938,187.9
WD939,189.2
WD940,187.8
WD941,188.2
WD942,184.9
WD943,187.5
WD944,189
WD945,189.3
WD946,187.3
WD947,187.5
WD948,187.9
WD949,183.6
WD950,186.9
WD951,191
WD952,192
WD953,193.2
WD954,193.9
WD955,193.9
WD956,192.3
WD957,189.3
WD958,192.2
WD959,204.6
WD960,202.2
WD961,199.5
WD962,195.8
WD963,197.5
WD964,202.4
WD965,196.2
WD966,200.2
WD967,198.5
WD968,198.4
WD969,197.2
WD970,199
WD971,201.2
WD972,198.6
WD973,191.6
WD974,194
WD975,198.3
WD976,198
WD977,198.4
WD978,194.4
WD979,197.6
WD980,196.3
WD981,197.4
WD982,195.8
WD983,192
WD984,185
WD985,191.2
WD986,190.9
WD987,195.1
WD988,188.4
WD989,192.2
WD990,187
WD991,197.3
WD992,187.6
WD993,190.1
WD994,188.8
WD995,198.8
WD996,194
WD997,193.4
WD998,197.9
WD999,185.8
WD1000,185.9
WD1001,197.2
WD1002,190.8
WD1003,187.9
WD1004,178.2
WD1005,176.8
WD1006,184.7
WD1007,190.8
WD1008,180.4
WD1009,192.3
WD1010,183.3
WD1011,182.9
WD1012,176.6
WD1013,183.6
WD1014,182.1
WD1015,179.9
WD1016,175.7
WD1017,174.8
WD1018,182.3
WD1019,184.1
WD1020,180.6
WD1021,180.5
WD1022,182
WD1023,183.3
WD1024,185.2
WD1025,185.3
WD1026,183.2
WD1027,182.3
WD1028,182.1
WD1029,183.2
WD1030,183.1
WD1031,183.9
WD1032,184.6
WD1033,188.7
WD1034,191.4
WD1035,197.6
WD1036,193.4
WD1037,198.9
WD1038,199.1
WD1039,201
WD1040,201.8
WD1041,200.7
WD1042,197.9
WD1043,198.9
WD1044,201.1
WD1045,197.3
WD1046,203.6
WD1047,204.8
WD1048,208.1
WD1049,202.8
WD1050,199.8
WD1051,194.9
WD1052,199.7
WD1053,198.3
WD1054,199
WD1055,198.4
WD1056,198.1
WD1057,199.1
WD1058,202.5
WD1059,203.5
WD1060,205
WD1061,201.5
WD1062,199.1
WD1063,198.9
WD1064,203.4
WD1065,208.6
WD1066,201.3
WD1067,198.6
WD1068,192.1
WD1069,199.9
WD1070,206.7
WD1071,210
WD1072,195.5
WD1073,195.5
WD1074,210
WD1075,196.8
WD1076,198.8
WD1077,196.5
WD1078,194.7
WD1079,177
WD1080,184.7
WD1081,192.6
WD1082,191.2
WD1083,194.2
WD1084,199
WD1085,202.1
WD1086,202.1
WD1087,192.2
WD1088,190.3
WD1089,189.6
WD1090,178.2
WD1091,184.4
WD1092,182.8
WD1093,184.8
WD1094,190
WD1095,183.2
WD1096,181.1
WD1097,182.6
WD1098,178.7
WD1099,178.6
WD1100,181.2
WD1101,181.3
WD1102,186.2
WD1103,190
WD1104,193.6
WD1105,195
WD1106,189.5
WD1107,187.9
WD1108,193.8
WD1109,195.3
WD1110,199.1
WD1111,192.6
WD1112,194.9
WD1113,196.5
WD1114,204.6
WD1115,201.4
WD1116,202.2
WD1117,201.7
WD1118,201.3
WD1119,196.1
WD1120,198
WD1121,199
WD1122,205
WD1123,198.8
WD1124,200.7
WD1125,198.8
WD1126,194.3
WD1127,189.8
WD1128,195.8
WD1129,194.9
WD1130,201.4
WD1131,198.7
WD1132,192
WD1133,191.4
WD1134,192.8
WD1135,190.4
WD1136,188.5
WD1137,187.7
WD1138,189
WD1139,186.8
WD1140,186.7
WD1141,187.5
WD1142,192.9
WD1143,195.9
WD1144,175.5
WD1145,185.3
WD1146,183.6
WD1147,180.7
WD1148,182.5
WD1149,185.8
WD1150,186.9
WD1151,183.9
WD1152,180.5
WD1153,186.2
WD1154,190.8
WD1155,190.8
WD1156,186.7
WD1157,198.3
WD1158,201.9
WD1159,188.2
WD1160,188.3
WD1161,186
WD1162,181.7
WD1163,186.8
WD1164,196.9
WD1165,193.5
WD1166,194.5
WD1167,189.4
WD1168,184.4
WD1169,180.2
WD1170,189.4
WD1171,193.9
WD1172,188
WD1173,189.9
WD1174,185.4
WD1175,188.6
WD1176,189
WD1177,185.6
WD1178,187.3
WD1179,187.3
WD1180,185.6
WD1181,191.5
WD1182,196
WD1183,197.1
WD1184,197.8
WD1185,193.8
WD1186,191.3
WD1187,190.9
WD1188,193.8
WD1189,196.1
WD1190,195.2
WD1191,193
WD1192,192.3
WD1193,193.8
WD1194,194.5
WD1195,197.3
WD1196,194.8
WD1197,198.5
WD1198,197.9
WD1199,198.9
WD1200,196.1
WD1201,197.6
WD1202,194.7
WD1203,197.3
WD1204,196
WD1205,199.6
WD1206,202
WD1207,202.8
WD1208,197.7
WD1209,200.2
WD1210,204
WD1211,203.8
WD1212,205.1
WD1213,203.8
WD1214,207.4
WD1215,205.5
WD1216,206.7
WD1217,208.5
WD1218,210.1
WD1219,210.9
WD1220,208.8
WD1221,214.7
WD1222,210.5
WD1223,209.2
WD1224,208.9
WD1225,206.4
WD1226,199.9
WD1227,196.7
WD1228,197
WD1229,195.6
WD1230,188.8
WD1231,187.9
WD1232,191.7
WD1233,193.4
WD1234,191.6
WD1235,191.6
WD1236,193.3
WD1237,197.7
WD1238,196
WD1239,194.5
WD1240,199.3
WD1241,201.9
WD1242,202
WD1243,206.4
WD1244,210.4
WD1245,210
WD1246,209.9
WD1247,204.9
WD1248,201.5
WD1249,199.7
WD1250,205
WD1251,206.2
WD1252,207.2
WD1253,212.3
WD1254,244.5
WD1255,249.8
WD1256,237.6
WD1257,227.9
WD1258,215.3
WD1259,218.9
WD1260,221.4
WD1261,227.8
WD1262,230.5
WD1263,223.1
WD1264,212.8
WD1265,215.1
WD1266,214.6
WD1267,198
WD1268,194.7
WD1269,204.3
WD1270,199.5
WD1271,193.3
WD1272,190.5
WD1273,187.7
WD1274,191.5
WD1275,195.2
WD1276,191.6
WD1277,196.6
WD1278,193.7
WD1279,190.6
WD1280,187.7
WD1281,186.7
WD1282,183.5
WD1283,194.3
WD1284,187.4
WD1285,202.4
WD1286,187.8
WD1287,193.6
WD1288,189.7
WD1289,192.8
WD1290,198.9
WD1291,198
WD1292,193.1
WD1293,182.9
WD1294,196.5
WD1295,187.6
WD1296,184.6
WD1297,188.5
WD1298,188.1
WD1299,181.8
WD1300,183.6
WD1301,181.3
WD1302,194
WD1303,196.6
WD1304,195.9
WD1305,185.8
WD1306,195.1
WD1307,191.9
WD1308,197.2
WD1309,190.8
WD1310,187.3
WD1311,190.8
WD1312,187.6
WD1313,188.6
WD1314,181.8
WD1315,179.7
WD1316,182.1
WD1317,184.9
WD1318,184.9
WD1319,184.2
WD1320,180.2
WD1321,187.8
WD1322,189.7
WD1323,188.3
WD1324,186.5
WD1325,187.5
WD1326,190.1
WD1327,191.7
WD1328,196.9
WD1329,197.1
WD1330,198.4
WD1331,202.4
WD1332,205.4
WD1333,205.9
WD1334,206.5
WD1335,202.7
WD1336,200.6
WD1337,196
WD1338,197.5
WD1339,201.2
WD1340,206.8
WD1341,204.9
WD1342,209
WD1343,206.6
WD1344,204.4
WD1345,204.1
WD1346,207
WD1347,206.2
WD1348,208.3
WD1349,206.2
WD1350,208.5
WD1351,211.8
WD1352,211.7
WD1353,212.4
WD1354,213
WD1355,209.4
WD1356,207.6
WD1357,210.2
WD1358,206.8
WD1359,206.7
WD1360,207.9
WD1361,208.2
WD1362,211.2
WD1363,212.2
WD1364,209.3
WD1365,205.7
WD1366,205
WD1367,207
WD1368,204.6
WD1369,205.3
WD1370,206.7
WD1371,205.7
WD1372,206.3
WD1373,202.4
WD1374,206.8
WD1375,210.3
WD1376,211
WD1377,210.7
WD1378,209.1
WD1379,210.5
WD1380,213.9
WD1381,211.9
WD1382,214.9
WD1383,215.6
WD1384,216
WD1385,209.5
WD1386,210.6
WD1387,210.6
WD1388,210.2
WD1389,210.3
WD1390,201.1
WD1391,195.9
WD1392,191.9
WD1393,190.4
WD1394,185.8
WD1395,178.4
WD1396,186.5
WD1397,190.8
WD1398,185.5
WD1399,191.4
WD1400,201.3
WD1401,204.3
WD1402,198.4
WD1403,199.7
WD1404,203.6
WD1405,209.5
WD1406,204
WD1407,204
WD1408,198.4
WD1409,196.9
WD1410,192.7
WD1411,181.1
WD1412,190.3
WD1413,195.6
WD1414,200.2
WD1415,194.5
WD1416,191.1
WD1417,192.3
WD1418,199.3
WD1419,200.9
WD1420,212.9
WD1421,195.8
WD1422,163.6
WD1423,153.5
WD1424,189.8
WD1425,208.3
WD1426,214.9
WD1427,217.1
WD1428,181.6
WD1429,202.5
WD1430,203.3
WD1431,200.1
WD1432,189.8
WD1433,182.7
WD1434,191.1
WD1435,216.7
WD1436,215.5
WD1437,185.8
WD1438,185.1
WD1439,101.8
WD1440,59
WD1441,52.9
WD1442,92.2
WD1443,83.6
WD1444,146.9
WD1445,183.1
WD1446,157.5
WD1447,197.1
WD1448,202.1
WD1449,185.4
WD1450,176.4
WD1451,202.7
WD1452,210.5
WD1453,213.9
WD1454,214.5
WD1455,213
WD1456,210.4
WD1457,220.3
WD1458,208.3
WD1459,196.3
WD1460,211
WD1461,211.2
WD1462,205
WD1463,197.8
WD1464,195.7
WD1465,201
WD1466,192.9
WD1467,201.2
WD1468,197.3
WD1469,161.5
WD1470,165.6
WD1471,169.6
WD1472,190.2
WD1473,185.4
WD1474,179.9
WD1475,179.9
WD1476,181.3
WD1477,177.9
WD1478,176.6
WD1479,178.4
WD1480,157.2
WD1481,169.7
WD1482,172.3
WD1483,180
WD1484,175.1
WD1485,164
WD1486,167.6
WD1487,169.3
WD1488,168.1
WD1489,181.5
WD1490,199.6
WD1491,191.8
WD1492,178.2
WD1493,170.8
WD1494,165.3
WD1495,150.7
WD1496,155.6
WD1497,148.7
WD1498,150.8
WD1499,156.5
WD1500,166
WD1501,184.1
WD1502,169.2
WD1503,130.4
WD1504,115.4
WD1505,164.2
WD1506,148.3
WD1507,157.7
WD1508,165.8
WD1509,163.2
WD1510,192.7
WD1511,189.5
WD1512,213.9
WD1513,205.6
WD1514,189.1
WD1515,165.3
WD1516,174.7
WD1517,194.8
WD1518,148.1
WD1519,147.3
WD1520,162.5
WD1521,187.6
WD1522,205.4
WD1523,195.4
WD1524,184.9
WD1525,177.2
WD1526,176.5
WD1527,176.4
WD1528,182.4
WD1529,192.3
WD1530,186.5
WD1531,156.8
WD1532,156.3
WD1533,194.3
WD1534,203.4
WD1535,199.1
WD1536,197.1
WD1537,204.3
WD1538,202.7
WD1539,201.9
WD1540,197.6
WD1541,193.2
WD1542,197.7
WD1543,172.5
WD1544,166.9
WD1545,181.8
WD1546,147.4
WD1547,114.8
WD1548,145.1
WD1549,176.9
WD1550,187
WD1551,203.8
WD1552,203.3
WD1553,199.6
WD1554,197.5
WD1555,201.3
WD1556,194.5
WD1557,180.2
WD1558,190
WD1559,199.7
WD1560,203.5
WD1561,204.8
WD1562,203.5
WD1563,209.3
WD1564,207.6
WD1565,207.2
WD1566,205.4
WD1567,195.7
WD1568,196.9
WD1569,206.3
WD1570,205
WD1571,185.4
